iter	Passed	Remaining
619	4451	2728
620	4458	2720
621	4464	2713
622	4470	2705
623	4476	2697
624	4482	2689
625	4488	2681
626	4494	2673
627	4500	2665
628	4506	2658
629	4512	2650
630	4518	2642
631	4525	2635
632	4531	2627
633	4537	2619
634	4543	2611
635	4550	2604
636	4558	2597
637	4565	2590
638	4572	2582
639	4578	2575
640	4585	2568
641	4592	2560
642	4599	2553
643	4606	2546
644	4613	2539
645	4619	2531
646	4626	2524
647	4680	2542
648	4717	2551
649	4744	2554
650	4758	2551
651	4820	2572
652	4833	2568
653	4843	2562
654	4852	2555
655	4859	2548
656	4866	2540
657	4877	2535
658	4888	2529
659	4898	2523
660	4917	2521
661	4924	2514
662	4934	2507
663	4942	2500
664	4950	2493
665	4956	2485
666	4966	2479
667	4976	2473
668	4983	2465
669	4990	2457
670	4997	2450
671	5004	2442
672	5011	2435
673	5018	2427
674	5025	2419
675	5034	2412
676	5040	2404
677	5049	2398
678	5055	2390
679	5062	2382
680	5068	2374
681	5074	2366
682	5080	2357
683	5086	2349
684	5092	2341
685	5098	2333
686	5104	2325
687	5110	2317
688	5117	2309
689	5123	2301
690	5129	2293
691	5136	2286
692	5142	2278
693	5149	2270
694	5155	2262
695	5162	2255
696	5169	2247
697	5179	2240
698	5186	2233
699	5194	2226
700	5201	2218
701	5208	2211
702	5215	2203
703	5223	2196
704	5230	2188
705	5237	2181
706	5245	2174
707	5254	2166
708	5260	2159
709	5268	2151
710	5276	2144
711	5284	2137
712	5293	2130
713	5302	2123
714	5311	2117
715	5320	2110
716	5327	2102
717	5335	2095
718	5342	2088
719	5349	2080
720	5356	2072
721	5363	2065
722	5370	2057
723	5378	2050
724	5386	2043
725	5393	2035
726	5400	2028
727	5408	2020
728	5416	2013
729	5423	2005
730	5431	1998
731	5483	2007
732	5492	2000
733	5505	1995
734	5515	1988
735	5525	1981
736	5534	1974
737	5541	1967
738	5549	1959
739	5556	1952
740	5564	1944
741	5572	1937
742	5579	1929
743	5588	1922
744	5596	1915
745	5602	1907
746	5610	1900
747	5617	1892
748	5625	1885
749	5632	1877
750	5640	1870
751	5648	1862
752	5655	1855
753	5663	1847
754	5670	1840
755	5677	1832
756	5684	1824
757	5691	1817
758	5698	1809
759	5705	1801
760	5713	1794
761	5719	1786
762	5726	1778
763	5733	1771
764	5741	1763
765	5748	1756
766	5756	1748
767	5765	1741
768	5773	1734
769	5780	1726
770	5790	1719
771	5797	1712
772	5804	1704
773	5811	1696
774	5818	1689
775	5825	1681
776	5832	1674
777	5840	1666
778	5848	1659
779	5855	1651
780	5861	1643
781	5868	1635
782	5874	1627
783	5880	1620
784	5886	1612
785	5893	1604
786	5899	1596
787	5906	1588
788	5912	1581
789	5919	1573
790	5926	1565
791	5932	1558
792	5938	1550
793	5944	1542
794	5951	1534
795	5960	1527
796	5967	1519
797	5974	1512
798	5981	1504
799	5990	1497
800	5996	1489
801	6002	1482
802	6009	1474
803	6016	1466
804	6023	1459
805	6030	1451
806	6037	1443
807	6044	1436
808	6051	1428
809	6057	1420
810	6064	1413
811	6071	1405
812	6077	1397
813	6083	1390
814	6089	1382
815	6096	1374
816	6102	1366
817	6108	1359
818	6115	1351
819	6121	1343
820	6127	1336
821	6134	1328
822	6140	1320
823	6147	1313
824	6154	1305
825	6162	1298
826	6169	1290
827	6175	1282
828	6183	1275
829	6190	1267
830	6197	1260
831	6204	1252
832	6211	1245
833	6219	1237
834	6225	1230
835	6232	1222
836	6240	1215
837	6247	1207
838	6254	1200
839	6260	1192
840	6266	1184
841	6273	1177
842	6279	1169
843	6287	1162
844	6293	1154
845	6299	1146
846	6307	1139
847	6314	1131
848	6322	1124
849	6329	1116
850	6338	1109
851	6346	1102
852	6353	1094
853	6360	1087
854	6368	1080
855	6375	1072
856	6385	1065
857	6392	1058
858	6399	1050
859	6406	1042
860	6414	1035
861	6420	1027
862	6428	1020
863	6435	1013
864	6443	1005
865	6451	998
866	6458	990
867	6464	983
868	6471	975
869	6477	967
870	6484	960
871	6490	952
872	6496	945
873	6503	937
874	6510	930
875	6516	922
876	6523	914
877	6529	907
878	6536	899
879	6542	892
880	6549	884
881	6556	877
882	6565	869
883	6572	862
884	6578	854
885	6585	847
886	6592	839
887	6599	832
888	6605	824
889	6613	817
890	6638	812
891	6666	807
892	6674	799
893	6684	792
894	6693	785
895	6703	778
896	6711	770
897	6718	763
898	6724	755
899	6731	747
900	6739	740
901	6746	732
902	6752	725
903	6758	717
904	6765	710
905	6772	702
906	6779	695
907	6785	687
908	6792	680
909	6799	672
910	6805	664
911	6812	657
912	6819	649
913	6826	642
914	6833	634
915	6840	627
916	6847	619
917	6853	612
918	6859	604
919	6865	597
920	6872	589
921	6878	581
922	6884	574
923	6890	566
924	6897	559
925	6903	551
926	6910	544
927	6916	536
928	6922	529
929	6929	521
930	6936	514
931	6943	506
932	6951	499
933	6960	491
934	6967	484
935	6974	476
936	6981	469
937	6989	461
938	6996	454
939	7003	447
940	7010	439
941	7017	432
942	7024	424
943	7030	417
944	7036	409
945	7043	402
946	7049	394
947	7055	387
948	7061	379
949	7067	371
950	7073	364
951	7079	356
952	7085	349
953	7091	341
954	7098	334
955	7104	326
956	7110	319
957	7116	312
958	7123	304
959	7128	297
960	7134	289
961	7140	282
962	7146	274
963	7153	267
964	7159	259
965	7165	252
966	7173	244
967	7181	237
968	7187	229
969	7194	222
970	7201	215
971	7208	207
972	7215	200
973	7222	192
974	7229	185
975	7236	177
976	7244	170
977	7251	163
978	7257	155
979	7264	148
980	7270	140
981	7277	133
982	7283	125
983	7290	118
984	7297	111
985	7304	103
986	7311	96
987	7320	88
988	7327	81
989	7334	74
990	7341	66
991	7348	59
992	7356	51
993	7364	44
994	7371	37
995	7379	29
996	7386	22
997	7393	14
998	7399	7
999	7406	0
